source_no,category,name_ko,romanization,desc_ko,name_en,desc_en,name_ja,desc_ja,name_zh_simp,desc_zh_simp,name_zh_trad,desc_zh_trad
1,상차림 [Sangcharim],간장게장정식,Ganjanggejangjeongsik,"간장게장과 밥, 각종 반찬이 함께 차려지는 상차림이다. 간장게장은 파, 마늘 등의 재료를 넣고 끓인 양념간장에 싱싱한 게를 담가 숙성시켜 만든다.",Soy Sauce Marinated Crab Served with Rice and Side Dishes,"This course meal consists of crab marinated in soy sauce, rice, and different side dishes. The crab marinated in soy sauce is made by fermenting fresh crabs in a boiled brine of soy sauce, green onion, and garlic.",カンジャンケジャン定食,カンジャンケジャンとご飯、各種おかずが並ぶ膳。カンジャンケジャンは、ねぎ、にんにくなどを入れて煮込んだ醤油だれに、新鮮なカニを漬けて熟成させたもの。,酱生蟹套餐,由酱生蟹、米饭和各种小菜组成的套餐。在用葱、蒜等食材煮沸的调味酱油中放入新鲜的螃蟹腌制成酱生蟹。,醬蟹套餐,由醬蟹、米飯和各種小菜組成的套餐。醬蟹是在加入蔥、大蒜等材料煮沸的調味醬油中放入新鮮螃蟹，醃製而成。
2,상차림 [Sangcharim],백반,Baekban,"밥, 국, 무침, 구이, 김치 등 집에서 먹을 법한 요리로 채운 한 상으로 가정식 백반이라고 부르기도 한다.",Combination Meals,"This is a meal of rice and soup served with various side dishes that are commonly eaten at home, such as vegetable salads, grilled fish, and kimchi. It is considered to be a typical Korean home-style meal.",定食,ご飯、スープ、和え物、焼き物、キムチなどの家庭料理が並ぶ膳。,家常套餐,由米饭、汤、凉拌菜、烧烤类、辛奇等一般家常菜组成的套餐，又叫做家常菜套餐。,家常套餐,由白米飯、湯、涼拌菜、燒烤、辛奇等一般家常菜組成，又被稱為家常白飯套餐。
3,상차림 [Sangcharim],보리밥정식,Boribapjeongsik,"쌀과 보리를 섞거나 보리로만 지은 밥에 다양한 반찬을 곁들인 한식 상차림이다. 보리밥에 각종 나물, 고추장, 참기름을 넣고 비벼 먹기도 한다.",Barley Rice Served with Side Dishes,"This course meal consists of a bowl of barley and rice or barley alone and different side dishes. The barley rice can be mixed with vegetables, gochujang (red chili paste), and sesame oil.",麦ご飯定食,米と麦を混ぜたご飯や麦だけで炊いたご飯に、色々なおかずを添えた膳。麦ご飯にナムル、コチュジャン、ごま油を混ぜて食べる場合もある。,大麦饭套餐,大米里掺大麦或仅用大麦焖制的饭，再搭配各种小菜组成的套餐。也可根据个人喜好，在大麦饭中加入各种野菜、辣椒酱、香油拌着吃。,大麥飯套餐,在米裡摻入大麥或光用大麥做的飯和各種小菜組成的套餐。也會根據個人喜好，在大麥飯中放入各種涼拌蔬菜、辣椒醬、香油拌食。
4,상차림 [Sangcharim],산채 정식,Sanchaejeongsik,"산에서 나는 고사리, 취나물, 버섯, 더덕, 두릅 등 갖은 채로로 차린 백반 한 상을 말한다. 자극적이지 않고 간이 세지 않아 산나물 고유의 향과 맛을 느낄 수 있는 별미음식이다.",Wild Vegetable Dish Combo,"This course meal consists of rice and soup with vegetable side dishes, such as seasoned bracken, aster, mushroom, bonnet bellflower root, and fatsia shoot. These mild-tasting wild vegetables have distinctive flavors and fragrances.",山菜定食,山で採れるワラビ、シラヤマギク、きのこ、蔓人参、タラの芽などの野菜が使われた定食。刺激が少なく、薄味で山菜ならではの固有の香りと味を楽しむことができる。,山菜套餐,用蕨菜、马蹄菜、蘑菇、沙参、刺老芽等各种山野菜烹制的一桌家常套餐，味道清淡不刺激，咸淡适中，可品尝到山野菜特有的自然清香和味道。,山菜套餐,是用山裡生長的蕨菜、馬蹄葉、蘑菇、沙參、刺老芽等各種野菜準備的白飯擺席。山菜套餐沒有刺激性食材，口味清淡，且保留了山野菜固有的香氣與滋味，是非常美味的特色套餐。
5,상차림 [Sangcharim],쌈밥 정식,Ssambapjeongsik,"밥, 생선, 제육볶음, 김치, 나물, 장아찌, 젓갈 등의 밥상에 쌈장과 상추, 배추 등의 각종 쌈 채소가 같이 차려지는 우리나라 전통 밥상 차림이다.",Leaf Wraps and Rice Combo,"Traditional Korean course meal consisting of rice, fish, stir-fried pork, kimchi, green salad, pickled vegetables, and salted seafood with various leafy vegetables such as Korean cabbage leaves and lettuce with ssamjang (spicy dipping sauce), which is made by mixing gochujang (red chili paste), doenjang (soybean paste), and other seasonings.
",野菜包みご飯定食,ご飯、魚、コチュジャンで味付けした豚肉炒め、キムチ、ナムル、漬物、塩辛などに、包み野菜としてサムジャンとサンチュ、白菜などを添えた韓国伝統の膳。,蔬菜包饭套餐,由米饭和辣炒猪肉、辛奇、凉拌菜、酱菜、鱼酱等菜品，搭配包饭酱和生菜、白菜等各种包饭用蔬菜的韩国传统套餐。,蔬菜包飯套餐,將米飯、魚肉、炒豬肉、辛奇、熟菜、醬菜、海鮮醬，以及包飯醬和生菜、白菜等各種蔬菜一起端上桌的韓國傳統擺席。
6,상차림 [Sangcharim],한정식,Hanjeongsik,"한정식 한국의 전통 반상차림을 서양의 정찬처럼 순서대로 격식을 갖춰 차려내는 현대적인 상차림이다. 전통적인 한식 식단을 바탕으로 전식, 곡물 위주의 주식과 다양한 부식 및 후식으로 구성되어 있다.",Korean Table d'hote,"The traditional Hanjeongsik is a set meal with an array of side dishes served with rice and soup. For a more modern dining experience, the meal is served in courses, including appetizers, rice as the main dish, various side dishes, and dessert.",韓定食,韓国の伝統的な膳は、格式を重んじて順に出される。韓国固有の献立を基本として、前菜、穀物を中心とした主食と副食、デザートで構成されている。,韩定食 (韩式套餐),韩定食是将韩国的传统饮食像西式大餐一样按顺序依次上席的现代式套餐，以韩国传统菜肴为基础，由前菜，谷物为主的主食和副食以及餐后甜点组成。,韓定食,韓定食跟西方的正餐是一個概念，就是按照先後順序與既定規格擺的席。韓定食以傳統韓餐為基礎，由前餐，以穀物為主的主食，以及豐富多洋的副食與甜點所構成。
7,밥 [Bap],곤드레나물밥,Gondeurenamulbap,곤드레는 높은 산 속에 자생하는 채소로 말린 것을 불려서 사용하며 맛이 부드럽고 향이 독특하다. 쌀 위에 곤드레나물을 얹고 들기름을 넣어 밥을 한 뒤 양념장을 곁들여 먹는다.,Thistle Rice,"Made with dried gondeure (thistle), a fragrant, wild mountain plant, which is soaked in water and squeezed, this dish is served with rice cooked with a little perilla oil and topped with seasoned thistle, along with some sauce.",コンドゥレナムルご飯,「コンドゥレ」は、高い山の中に自生する野菜で、乾燥させてふやかしたものを使う。風味がまろやかで、香りが独特だ。米の上にコンドゥレナムルをのせ、エゴマ油を入れて炊き、ヤンニョムジャン(たれ)をかけて食べる。,山蓟菜饭,"山蓟是生长在高山上的一种野菜,不仅口感细嫩，而且有着独特的香气。焖饭时将晾干的山蓟菜用水泡发后放在大米上面，再放一些白苏油，米饭焖好出锅后，配着调味酱吃即可。",山薊菜飯,"把山薊菜放在大米上面煮成飯後，配調味醬吃的山菜飯。山薊菜生長在山或田野，將晾乾的山薊菜用水泡發後使用, 它的特點在於柔和的口感和獨特的香氣。"
8,밥 [Bap],굴국밥,Gulgukbap,"제철에 나는 싱싱한 굴을 주재료로 무, 두부, 양파, 멸치, 버섯 등을 넣어 끓인 국에 밥을 말아 먹는 국밥 요리다. 미역과 부추를 넣으면 굴 특유의 비린내를 없앨 수 있다.",Oyster and Rice Soup,"This is rice in an oyster soup made by boiling fresh oysters with radish, bean curd, onion, anchovy, and mushroom. Add brown seaweed and chive to the soup to remove the fishy smell oysters are known for.",カキクッパ,旬の新鮮なカキを主な食材とし、大根、豆腐、たまねぎ、煮干し、きのこなどを入れたスープにご飯を入れて食べる。わかめとにらを入れると、カキ特有の臭みを消すことができる。,牡蛎汤饭, 以当季的新鲜牡蛎为主要材料，加入萝卜、豆腐、洋葱、鳀鱼、蘑菇等材料熬制成汤，再将米饭泡入汤中，是一种汤泡饭。加入海带和韭菜一起熬煮，可去掉牡蛎特有的腥味。,牡蠣湯飯,牡蠣湯飯以牡蠣為主要食材，再放入蘿蔔、豆腐、洋蔥、鯷魚、蘑菇等煮成湯，煮好後用湯泡飯吃即可。放入海帶與韭菜，就能清除牡蠣特有的腥味。
9,밥 [Bap],굴밥,Gulbap,"불린 쌀로 밥을 짓다가 뜸 들일 때 굴을 넣어 지은 밥으로, 양념간장과 함께 비벼 먹는다. 굴이 많이 생산되는 겨울철 별미로 무기질과 비타민 A가 풍부하여 영양적으로 우수하다.",Oyster Rice,"Short grain rice presoaked and cooked. Oysters are added after the heat is turned off, allowing them to cook with the rice in the residual heat. This dish is a winter delicacy, as oysters are in their prime in winter and rich in minerals and vitamin A.",カキご飯,米を炊き、蒸す際にカキを入れて炊き上げたご飯。醤油ベースのたれを合わせて混ぜて食べる。カキが旬の冬ならではの食べ物。ミネラルとビタミンAが豊富で、栄養面でも優れている。,牡蛎饭,用浸泡过的大米煮饭，在最后焖的阶段放入牡蛎即可。吃的时候用调味酱油拌着吃。冬天正是牡蛎最肥美的季节，牡蛎饭可以说是冬季的一道风味美食，富含矿物质和维生素A，营养非常丰富。,牡蠣飯,做牡蠣飯時大米要提前泡好，燜飯的時候放牡蠣，吃的時候用調味醬油拌著吃。牡蠣飯是牡蠣盛產季節冬季的美味，富含礦物質與維生素A，是營養豐富的滋補美食。
10,밥 [Bap],김밥,Gimbap,"흰밥을 소금과 참기름으로 밑간한 뒤 살짝 구운 김 위에 얇게 펼쳐 놓고 시금치, 당근, 단무지, 고기볶음 등을 넣어 둘둘 말아 알맞은 크기로 썰어 먹는 음식이다.",Gimbap,"Rice seasoned with salt and sesame oil and rolled up in a sheet of roasted gim (dried laver) with spinach, carrots, and pickled white radish. The long roll is sliced and served in bite-sized pieces .",キンパプ,塩とごま油で下味をつけたご飯を、さっとあぶった海苔の上に薄くのばし、ほうれん草、にんじん、たくあんなどをのせて巻いたものを一口大に切って食べる。,紫菜卷饭,米饭用食盐和麻油调味后薄薄铺 在烤熟的海苔上，将菠菜、胡萝卜条、黄萝 卜条、炒肉丝等放中间后卷成圆筒状，切成 适当大小即可。,紫菜捲飯,白米飯用食鹽和麻油調味後薄薄地鋪在烤熟的海苔上，放上多種蔬菜和肉類等後卷成圓筒狀，並切成適當大小後食用。做法簡單，適合當郊遊、旅行時的餐盒。
